Gene ,Exons (codons) tested
AKT1 (NM_005163),"3 (16-56), 4 (59-96), 6 (146-149), 6-7 (177-195), 9 (235-274), 11 (320-380), 12 (391-411), 13 (450-455), 14 (459-481)"
AKT2 (NM_001626),"3 (16-55), 4 (76-96), 6 (148-153), 7 (192-210), 8 (221-236), 10 (278-279), 11 (322-381), 12 (395-421), 14 (456-482)"
AKT3 (NM_005465),"2 (16-28), 2 (48-58), 3 (66-95), 4 (123-143), 6 (188-209), 8 (233-267), 10 (317-367), 11 (388-399)"
ALK (NM_004304),20-28 (1096-1388)
AR (NM_000044),"1 (1-45), 1 (135-178), 1 (245-285), 1 (342-388), 3 (615-629), 4 (707-725), 6-7 (797-831), 8 (870-910)"
ARAF (NM_001654),7 (186-216)
ARID1A (NM_006015),"1 (28-73), 1 (106-151), 1 (161-264), 1-8 (272-838), 8-20 (861-2062), 20 (2081-2286)"
ATM (NM_000051),"2-17 (1-865), 18-19 (880-974), 20-25 (1001-1249), 26 (1258-1283), 26-44 (1292-2136), 44-46 (2146-2262), 47-49 (2270-2389), 49-51 (2414-2542), 52-54 (2544-2667), 55 (2671-2711), 56-57 (2718-2806), 58-63 (2823-3028), 63 (3041-3057)"
ATR (NM_001184),"1-5 (1-450), 6-8 (458-582), 8 (584-629), 9-13 (636-882), 13-15 (896-1052), 16-19 (1058-1237), 20-27 (1242-1581), 27 (1606-1618), 28-29 (1628-1692), 29-34 (1705-1965), 35-38 (1967-2184), 39-47 (2187-2645)"
ATRX (NM_000489),"1-11 (1-1301), 12-16 (1315-1562), 17-18 (1567-1644), 19-21 (1653-1766), 21-28 (1785-2108), 29-35 (2117-2493)"
AXL (NM_001699),"1 (1-29), 3 (103-137), 6 (223-261), 7 (288-332), 8 (351-378), 9 (386-429), 11 (473-497), 12 (516-536), 15 (593-633), 17 (670-686), 19 (769-782)"
BAP1 (NM_004656),1-17 (6-730)
BRAF (NM_004333),11-18 (439-722)
BRCA1 (NM_007294),"2-7 (1-183), 8-23 (191-1864)"
BRCA2 (NM_000059),"2-15 (1-2539), 16-27 (2548-3419)"
BTK (NM_000061),"7 (174-196), 15 (457-498)"
CBL (NM_005188),"8-9 (366-435), 9 (446-477)"
CCND1 (NM_053056),"1 (1-10), 1-2 (14-81), 2 (91-138), 3 (142-192), 4-5 (199-291)"
CCND2 (NM_001759),"1-2 (1-80), 2-3 (116-191), 4-5 (195-282)"
CCND3 (NM_001760),"1-2 (53-122), 3 (139-180), 4 (192-237), 5 (250-293)"
CCNE1 (NM_001238),"4-5 (39-92), 6-9 (127-258), 11-12 (348-411)"
CDK12 (NM_016507),"1 (1-42), 1-14 (71-1491)"
CDK2 (NM_001798),"1-2 (1-45), 4 (106-153), 5-6 (163-228), 6-7 (252-297)"
CDK4 (NM_000075),"2-3 (17-116), 4 (119-163), 5-6 (175-228), 7-8 (268-304)"
CDK6 (NM_001259),"2 (7-75), 3 (78-86), 3 (104-123), 4 (136-179), 5 (183-216), 6 (221-233), 7-8 (236-287), 8 (315-327)"
CDKN1B (NM_004064),1-2 (1-199)
CDKN2A (NM_000077),"1-2 (1-90), 2 (98-140), 2-3 (143-157)"
CDKN2B (NM_004936),1-2 (1-139)
CHEK1 (NM_001274),"2-10 (1-334), 10-13 (363-477)"
CHEK2 (NM_007194),"11 (366-420), 15 (515-544)"
CREBBP (NM_004380),"1-5 (1-444), 6-31 (476-1933), 31 (1961-2443)"
CSF1R (NM_005211),"7 (297-319), 11 (517-542), 22 (963-973)"
CTNNB1 (NM_001904),"3 (5-67), 7 (327-361)"
DDR2 (NM_006182),"5 (97-139), 8 (228-279), 13-18 (540-856)"
EGFR (NM_005228),"3 (84-125), 7 (281-297), 12 (452-494), 15 (582-625), 18-20 (688-801), 20-24 (807-977)"
ERBB2 (NM_004448),"8 (301-327), 17 (649-680), 18-24 (696-990)"
ERBB3 (NM_001982),"2-3 (48-118), 6 (207-243), 7-8 (270-326), 9 (330-350), 23 (898-934)"
ERBB4 (NM_005235),"12 (437-478), 17 (649-671), 18 (694-726), 20 (781-823), 28 (1194-1236)"
